City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Bathsheba,BB,80.6,volcanic ash,13.2167,-59.5167,Atlantis Hotel
13,Rockport,US,82.99,clear sky,28.0206,-97.0544,Holiday Inn Express & Suites Rockport - Bay View
20,Sao Miguel Do Araguaia,BR,84.16,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
22,Sur,OM,81.99,clear sky,22.5667,59.5289,Sur Plaza Hotel
24,Cabedelo,BR,78.8,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
31,Tautira,PF,86.0,broken clouds,-17.7333,-149.15,Pension Oaoa
33,Rikitea,PF,78.21,light rain,-23.1203,-134.9692,Pension Maro'i
39,Namibe,AO,80.47,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
42,Georgetown,MY,82.0,few clouds,5.4112,100.3354,Cititel Penang
43,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
47,Altamira,BR,82.4,scattered clouds,-3.2033,-52.2064,Requinte Hotel
49,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
52,Mancora,PE,86.0,clear sky,-4.1078,-81.0475,Máncora Marina Hotel
56,Padang,ID,75.2,light rain,-0.9492,100.3543,Mercure Padang
58,Linares,CL,82.9,clear sky,-35.85,-71.6,Hotel Real
60,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
62,Lazaro Cardenas,MX,83.17,clear sky,17.9583,-102.2,Hotel Quinta Antigua
65,Atuona,PF,81.0,few clouds,-9.8,-139.0333,Villa Enata
66,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
69,Cabo San Lucas,MX,82.0,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
75,Kudahuvadhoo,MV,82.96,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
76,Iralaya,HN,87.8,scattered clouds,15.0,-83.2333,Iglesia morava renovada
78,Makakilo City,US,77.0,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
