City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khatanga,RU,71.9667,102.5,17.46,85,98,12.75,overcast clouds
1,Yar-Sale,RU,66.8333,70.8333,30.96,98,100,15.77,light snow
2,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,70,1,10.36,clear sky
3,Flinders,AU,-34.5833,150.8552,50.0,50,6,12.66,clear sky
4,Chapais,CA,49.7834,-74.8492,59.0,29,75,12.66,broken clouds
5,Coihaique,CL,-45.5752,-72.0662,60.8,67,75,14.97,light rain
6,Ushuaia,AR,-54.8,-68.3,50.0,53,75,19.57,broken clouds
7,Bathsheba,BB,13.2167,-59.5167,80.6,65,20,13.8,volcanic ash
8,Danilov,RU,58.1908,40.1717,36.52,96,61,2.68,broken clouds
9,Neryungri,RU,56.6709,124.6491,-11.43,98,87,3.6,overcast clouds
10,Busselton,AU,-33.65,115.3333,61.0,98,100,11.52,light rain
11,Kapaa,US,22.0752,-159.319,73.0,83,75,11.5,light rain
12,Albany,US,42.6001,-73.9662,66.99,56,100,1.99,overcast clouds
13,Rockport,US,28.0206,-97.0544,82.99,54,1,11.5,clear sky
14,Constitucion,CL,-35.3333,-72.4167,68.2,54,0,18.54,clear sky
15,Qaanaaq,GL,77.484,-69.3632,22.93,96,100,8.41,snow
16,Yellowknife,CA,62.456,-114.3525,10.0,61,90,5.75,light snow
17,Bredasdorp,ZA,-34.5322,20.0403,57.2,94,100,2.3,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,64.0,87,100,3.0,overcast clouds
19,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,5.75,broken clouds
20,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,84.16,60,100,2.89,overcast clouds
21,Teya,RU,60.3778,92.6267,17.78,97,96,3.04,overcast clouds
22,Sur,OM,22.5667,59.5289,81.99,62,0,9.66,clear sky
23,Krasnoarmeysk,RU,51.0239,45.6969,48.0,81,79,6.82,broken clouds
24,Cabedelo,BR,-6.9811,-34.8339,78.8,100,40,8.05,scattered clouds
25,Port Alfred,ZA,-33.5906,26.891,66.96,91,95,3.56,overcast clouds
26,Mataura,NZ,-46.1927,168.8643,48.99,98,78,1.99,broken clouds
27,Valdosta,US,30.8327,-83.2785,73.4,73,90,4.61,overcast clouds
28,Kaitangata,NZ,-46.2817,169.8464,50.77,97,40,3.11,scattered clouds
29,New Norfolk,AU,-42.7826,147.0587,48.99,77,100,3.0,overcast clouds
30,Guerrero Negro,MX,27.9769,-114.0611,67.5,57,97,14.32,overcast clouds
31,Tautira,PF,-17.7333,-149.15,86.0,66,75,9.22,broken clouds
32,Hobart,AU,-42.8794,147.3294,48.99,81,75,13.8,light intensity drizzle
33,Rikitea,PF,-23.1203,-134.9692,78.21,75,7,10.07,light rain
34,Leningradskiy,RU,69.3833,178.4167,-12.41,91,12,5.44,few clouds
35,Shimsk,RU,58.212,30.7127,43.5,86,100,6.31,overcast clouds
36,Nikolskoye,RU,59.7035,30.7861,43.0,45,0,4.47,light rain
37,Longyearbyen,SJ,78.2186,15.6401,19.4,58,75,19.57,broken clouds
38,Punta Arenas,CL,-53.15,-70.9167,59.0,36,0,17.27,clear sky
39,Namibe,AO,-15.1961,12.1522,80.47,69,53,5.41,broken clouds
40,Torbay,CA,47.6666,-52.7314,35.01,100,90,9.22,light snow
41,Pangnirtung,CA,66.1451,-65.7125,33.8,60,75,4.38,broken clouds
42,Georgetown,MY,5.4112,100.3354,82.0,89,20,3.44,few clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,40,9.22,scattered clouds
44,Bure,ET,10.7,37.0667,71.17,38,91,3.29,overcast clouds
45,Lianzhou,CN,24.7811,112.3825,68.31,90,10,3.38,light rain
46,Talnakh,RU,69.4865,88.3972,27.07,92,100,13.22,overcast clouds
47,Altamira,BR,-3.2033,-52.2064,82.4,78,40,9.22,scattered clouds
48,Green River,US,41.5286,-109.4662,44.6,23,1,9.22,clear sky
49,Bambous Virieux,MU,-20.3428,57.7575,79.0,89,40,6.91,scattered clouds
50,Batagay-Alyta,RU,67.8006,130.4114,-18.51,75,9,5.93,clear sky
51,Pella,RU,59.7775,30.8181,43.0,45,0,4.47,light rain
52,Mancora,PE,-4.1078,-81.0475,86.0,58,0,13.8,clear sky
53,Cape Town,ZA,-33.9258,18.4232,66.0,94,0,12.66,clear sky
54,Lodja,CD,-3.4833,23.4333,67.48,99,67,1.88,broken clouds
55,Kodiak,US,57.79,-152.4072,39.2,87,90,20.71,moderate rain
56,Padang,ID,-0.9492,100.3543,75.2,100,90,3.44,light rain
57,Provideniya,RU,64.3833,-173.3,9.79,87,100,28.39,light snow
58,Linares,CL,-35.85,-71.6,82.9,17,0,12.35,clear sky
59,Zhanaozen,KZ,43.3,52.8,60.96,42,1,23.42,clear sky
60,Vaini,TO,-21.2,-175.2,77.0,78,20,5.75,few clouds
61,Oneonta,US,42.4529,-75.0638,60.01,76,100,3.0,overcast clouds
62,Lazaro Cardenas,MX,17.9583,-102.2,83.17,56,1,12.28,clear sky
63,Egvekinot,RU,66.3167,-179.1667,-8.01,83,100,21.7,overcast clouds
64,Belle Fourche,US,44.6714,-103.8522,37.0,93,75,28.77,mist
65,Atuona,PF,-9.8,-139.0333,81.0,75,21,18.5,few clouds
66,Saint George,US,37.1041,-113.5841,82.99,10,1,8.05,clear sky
67,Nanortalik,GL,60.1432,-45.2371,37.89,59,0,5.66,clear sky
68,Sakakah,SA,29.9697,40.2064,59.0,25,0,3.44,clear sky
69,Cabo San Lucas,MX,22.8909,-109.9124,82.0,41,75,11.5,broken clouds
70,Olafsvik,IS,64.8945,-23.7142,36.3,82,99,18.54,light rain
71,Bluff,NZ,-46.6,168.3333,48.99,98,20,1.99,few clouds
72,Vila,PT,42.0304,-8.1588,46.99,75,2,8.99,clear sky
73,Baruun-Urt,MN,46.6806,113.2792,26.28,59,99,9.8,overcast clouds
74,Kruisfontein,ZA,-34.0033,24.7314,60.01,88,100,1.39,overcast clouds
75,Kudahuvadhoo,MV,2.6708,72.8944,82.96,71,31,5.88,scattered clouds
76,Iralaya,HN,15.0,-83.2333,87.8,74,40,11.5,scattered clouds
77,Binga,ZW,-17.6203,27.3414,69.12,59,0,1.66,clear sky
